SEGGER J-Link V9.14a - Real time terminal output
SEGGER J-Link V13.0, SN=53000782
Process: JLinkGDBServerCLExe
CM7_MAGIC=C07C07C7 CM7=3000000 CM4_MAGIC=C04C04C4 CM4=2597
CM7_MAGIC=C07C07C7 CM7=4000000 CM4_MAGIC=C04C04C4 CM4=3436
CM7_MAGIC=C07C07C7 CM7=5000000 CM4_MAGIC=C04C04C4 CM4=4275
CM7_MAGIC=C07C07C7 CM7=6000000 CM4_MAGIC=C04C04C4 CM4=5115
CM7_MAGIC=C07C07C7 CM7=7000000 CM4_MAGIC=C04C04C4 CM4=5954
CM7_MAGIC=C07C07C7 CM7=8000000 CM4_MAGIC=C04C04C4 CM4=6793
CM7_MAGIC=C07C07C7 CM7=9000000 CM4_MAGIC=C04C04C4 CM4=7633
CM7_MAGIC=C07C07C7 CM7=10000000 CM4_MAGIC=C04C04C4 CM4=8472
CM7_MAGIC=C07C07C7 CM7=11000000 CM4_MAGIC=C04C04C4 CM4=9312
CM7_MAGIC=C07C07C7 CM7=12000000 CM4_MAGIC=C04C04C4 CM4=10151
CM7_MAGIC=C07C07C7 CM7=13000000 CM4_MAGIC=C04C04C4 CM4=10990
CM7_MAGIC=C07C07C7 CM7=14000000 CM4_MAGIC=C04C04C4 CM4=11830
CM7_MAGIC=C07C07C7 CM7=15000000 CM4_MAGIC=C04C04C4 CM4=12669
CM7_MAGIC=C07C07C7 CM7=16000000 CM4_MAGIC=C04C04C4 CM4=13508
CM7_MAGIC=C07C07C7 CM7=17000000 CM4_MAGIC=C04C04C4 CM4=14348
CM7_MAGIC=C07C07C7 CM7=18000000 CM4_MAGIC=C04C04C4 CM4=15187
CM7_MAGIC=C07C07C7 CM7=19000000 CM4_MAGIC=C04C04C4 CM4=16026
CM7_MAGIC=C07C07C7 CM7=20000000 CM4_MAGIC=C04C04C4 CM4=16866
